Geography Type,Geography,Age Range,Group Name,Group Category,Indicator Name,Indicator Category,Time Period,Year,Time Type,Estimate (%),95% CI (%),Sample Size,Suppression Flag
National Estimates,National,12-17 years,Metropolitan statistical area,Suburban,Vaccination and intent 4 level grouping,Definitely will get vaccinated,April 30 - May 27,2023,Monthly,0.7,0.0 - 1.5,925,0
National Estimates,National,12-17 years,Poverty and Income,"Above poverty, income < $75k",Vaccination and intent 4 level grouping,Definitely will get vaccinated,March 26 - April 29,2023,Monthly,0.8,0.0 - 2.4,524,0
National Estimates,National,12-17 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Definitely will get vaccinated,February 26 - March 25,2023,Monthly,2.6,0.0 - 5.8,262,0
National Estimates,National,12-17 years,Race/Ethnicity,"Black, non-Hispanic",Vaccination and intent 4 level grouping,Definitely will get vaccinated,January 29 - February 25,2023,Monthly,1.4,0.0 - 4.0,243,0
National Estimates,National,12-17 years,Race/Ethnicity,Multi,Vaccination and intent 4 level grouping,Definitely will get vaccinated,January 1 - January 28,2023,Monthly,0.1,0.0 - 0.1,247,0
National Estimates,National,12-17 years,Race/Ethnicity,"White, non-Hispanic",Vaccination and intent 4 level grouping,Definitely will get vaccinated,Jan 2  - Jan 29,2022,Monthly,5.4,3.1 - 7.6,"1,616",0
National Estimates,National,12-17 years,Age,12 � 15 years,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,Jan 30 - Feb 26,2022,Monthly,23,19.6 - 26.5,"1,964",0
National Estimates,National,12-17 years,Health Insurance,Any Medicaid,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,Jan 2  - Jan 29,2022,Monthly,23.4,18.3 - 28.5,706,0
National Estimates,National,12-17 years,Health Insurance,Other Insurance,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,Nov 28 - Dec 31,2021,Monthly,18.3,15.1 - 21.4,"2,213",0
National Estimates,National,12-17 years,Metropolitan statistical area,Rural,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,Oct 1 - Oct 29 ,2022,Monthly,42.9,33.5 - 52.2,364,0
National Estimates,National,5-17 years,Sex,Male,Vaccination and intent 4 level grouping,Probably will get vaccinated or are unsure,Jan 2  - Jan 29,2022,Monthly,21.5,19.1 - 23.8,"3,860",0
National Estimates,National,5-17 years,Sex,Male,Vaccination and intent 4 level grouping,Probably will get vaccinated or are unsure,Oct 30 - Nov 26,2022,Monthly,14.4,11.6 - 17.1,"2,830",0
National Estimates,National,5-17 years,Age,12 � 15 years,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 29 - Jun 30,2022,Monthly,58.4,54.9 - 62.0,"2,403",0
National Estimates,National,12-17 years,Metropolitan statistical area,Urban,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,May 29 - Jun 30,2022,Monthly,20.5,15.8 - 25.1,988,0
National Estimates,National,12-17 years,Poverty and Income,"At or above poverty, income >= $75k",Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,March 26 - April 29,2023,Monthly,30.1,25.1 - 35.2,"1,110",0
National Estimates,National,12-17 years,Poverty and Income,Unknown income,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,Jan 30 - Feb 26,2022,Monthly,23.7,16.7 - 30.7,551,0
National Estimates,National,12-17 years,Race/Ethnicity,"Black, non-Hispanic",Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,Nov 28 - Dec 31,2021,Monthly,15.4,8.4 - 22.5,412,0
National Estimates,National,12-17 years,Race/Ethnicity,"White, non-Hispanic",Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,Aug 28 - Sept 30 ,2022,Monthly,32.5,27.1 - 37.9,857,0
National Estimates,National,12-17 years,Sex,Male,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,Jul 31 - Aug 27,2022,Monthly,28.2,24.0 - 32.4,"1,573",0
National Estimates,National,12-17 years,Age,16 � 17 years,Bivalent vaccination and intent 4 level grouping (among completed primary series),Probably will get an updated bivalent booster or unsure (among completed primary series),Nov 27 - Dec 31,2022,Monthly,38.3,31.8 - 44.7,461,0
National Estimates,National,12-17 years,Metropolitan statistical area,Rural,Bivalent vaccination and intent 4 level grouping (among completed primary series),Probably will get an updated bivalent booster or unsure (among completed primary series),Oct 1 - Oct 29 ,2022,Monthly,28.2,16.7 - 39.8,186,0
National Estimates,National,12-17 years,Poverty and Income,"At or above poverty, income >= $75k",Bivalent vaccination and intent 4 level grouping (among completed primary series),Probably will get an updated bivalent booster or unsure (among completed primary series),January 29 - February 25,2023,Monthly,30.4,25.3 - 35.6,875,0
National Estimates,National,12-17 years,Poverty and Income,Below poverty,Bivalent vaccination and intent 4 level grouping (among completed primary series),Probably will get an updated bivalent booster or unsure (among completed primary series),Nov 27 - Dec 31,2022,Monthly,47.3,33.1 - 61.6,142,0
National Estimates,National,12-17 years,Race/Ethnicity,Multi,Bivalent vaccination and intent 4 level grouping (among completed primary series),Probably will get an updated bivalent booster or unsure (among completed primary series),March 26 - April 29,2023,Monthly,36.5,24.0 - 48.9,212,0
National Estimates,National,12-17 years,All children 12 � 17 years,All children 12 � 17 years,Vaccination and intent 4 level grouping,Probably will get vaccinated or are unsure,January 1 - January 28,2023,Monthly,7.8,5.4 - 10.1,"1,915",0
National Estimates,National,12-17 years,Age,12 � 15 years,Vaccination and intent 4 level grouping,Probably will get vaccinated or are unsure,Oct 30 - Nov 26,2022,Monthly,9.5,5.9 - 13.0,"1,458",0
National Estimates,National,12-17 years,Health Insurance,Any Medicaid,Vaccination and intent 4 level grouping,Probably will get vaccinated or are unsure,Aug 28 - Sept 30 ,2022,Monthly,10,5.1 - 14.8,449,0
National Estimates,National,12-17 years,Health Insurance,Uninsured,Vaccination and intent 4 level grouping,Probably will get vaccinated or are unsure,Jul 1 - Jul 30,2022,Monthly,22.5,9.5 - 35.4,125,0
National Estimates,National,5-17 years,Age,16 � 17 years,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),Jan 30 - Feb 26,2022,Monthly,66.3,60.0 - 72.6,533,0
National Estimates,National,5-17 years,Age,16 � 17 years,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),Oct 30 - Nov 26,2022,Monthly,69.7,63.0 - 76.4,540,0
National Estimates,National,5-17 years,Age,5 � 11 years,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 1 - May 28,2022,Monthly,33,31.0 - 35.0,"5,717",0
National Estimates,National,12-17 years,Metropolitan statistical area,Suburban,Vaccination and intent 4 level grouping,Probably will get vaccinated or are unsure,May 1 - May 28,2022,Monthly,10.5,7.7 - 13.3,"1,330",0
National Estimates,National,12-17 years,Poverty and Income,"Above poverty, income < $75k",Vaccination and intent 4 level grouping,Probably will get vaccinated or are unsure,March 26 - April 29,2023,Monthly,10.7,5.6 - 15.9,524,0
National Estimates,National,12-17 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Probably will get vaccinated or are unsure,January 29 - February 25,2023,Monthly,7.9,2.0 - 13.7,235,0
National Estimates,National,12-17 years,Race/Ethnicity,"Black, non-Hispanic",Vaccination and intent 4 level grouping,Probably will get vaccinated or are unsure,January 1 - January 28,2023,Monthly,12.6,4.8 - 20.5,186,0
National Estimates,National,12-17 years,Race/Ethnicity,Multi,Vaccination and intent 4 level grouping,Probably will get vaccinated or are unsure,Oct 30 - Nov 26,2022,Monthly,2,0.0 - 4.5,251,0
National Estimates,National,12-17 years,Sex,Male,Vaccination and intent 4 level grouping,Probably will get vaccinated or are unsure,January 1 - January 28,2023,Monthly,7.8,4.3 - 11.3,992,0
National Estimates,National,12-17 years,Age,12 � 15 years,Bivalent vaccination and intent 4 level grouping (among completed primary series),Probably will not or definitely will not get an updated bivalent booster (among completed primary series),Oct 30 - Nov 26,2022,Monthly,11.8,8.3 - 15.3,948,0
National Estimates,National,12-17 years,Health Insurance,Uninsured,Bivalent vaccination and intent 4 level grouping (among completed primary series),Probably will not or definitely will not get an updated bivalent booster (among completed primary series),February 26 - March 25,2023,Monthly,22.1,1.3 - 42.8,47,0
National Estimates,National,12-17 years,Poverty and Income,"Above poverty, income < $75k",Bivalent vaccination and intent 4 level grouping (among completed primary series),Probably will not or definitely will not get an updated bivalent booster (among completed primary series),January 1 - January 28,2023,Monthly,14.9,8.5 - 21.4,262,0
National Estimates,National,12-17 years,Poverty and Income,"At or above poverty, income >= $75k",Bivalent vaccination and intent 4 level grouping (among completed primary series),Probably will not or definitely will not get an updated bivalent booster (among completed primary series),Oct 1 - Oct 29 ,2022,Monthly,10.9,7.0 - 14.8,694,0
National Estimates,National,12-17 years,Race/Ethnicity,Hispanic/Latino,Bivalent vaccination and intent 4 level grouping (among completed primary series),Probably will not or definitely will not get an updated bivalent booster (among completed primary series),January 29 - February 25,2023,Monthly,8.9,4.6 - 13.1,351,0
National Estimates,National,12-17 years,Sex,Female,Bivalent vaccination and intent 4 level grouping (among completed primary series),Probably will not or definitely will not get an updated bivalent booster (among completed primary series),Oct 1 - Oct 29 ,2022,Monthly,12.9,8.8 - 17.1,601,0
National Estimates,National,12-17 years,Age,16 � 17 years,Bivalent vaccination and intent 4 level grouping (among completed primary series),Received updated bivalent booster dose (among completed primary series),February 26 - March 25,2023,Monthly,24.5,18.6 - 30.4,564,0
National Estimates,National,12-17 years,Metropolitan statistical area,Rural,Bivalent vaccination and intent 4 level grouping (among completed primary series),Received updated bivalent booster dose (among completed primary series),February 26 - March 25,2023,Monthly,15,7.3 - 22.7,201,0
National Estimates,National,5-17 years,Health Insurance,Any Medicaid,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),Feb 27 - Mar 26,2022,Monthly,36.5,33.0 - 40.1,"1,820",0
National Estimates,National,5-17 years,Health Insurance,Any Medicaid,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),Oct 1 - Oct 29 ,2022,Monthly,41,36.8 - 45.2,"1,368",0
National Estimates,National,5-17 years,Health Insurance,Other Insurance,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),Oct 1 - Oct 29 ,2022,Monthly,52.4,49.4 - 55.3,"3,819",0
National Estimates,National,12-17 years,Poverty and Income,"Above poverty, income < $75k",Bivalent vaccination and intent 4 level grouping (among completed primary series),Received updated bivalent booster dose (among completed primary series),Oct 30 - Nov 26,2022,Monthly,10.8,3.8 - 17.8,243,0
National Estimates,National,12-17 years,Race/Ethnicity,"Black, non-Hispanic",Bivalent vaccination and intent 4 level grouping (among completed primary series),Received updated bivalent booster dose (among completed primary series),February 26 - March 25,2023,Monthly,15.5,7.6 - 23.4,164,0
National Estimates,National,12-17 years,Race/Ethnicity,"White, non-Hispanic",Bivalent vaccination and intent 4 level grouping (among completed primary series),Received updated bivalent booster dose (among completed primary series),Nov 27 - Dec 31,2022,Monthly,25.6,20.9 - 30.3,866,0
National Estimates,National,12-17 years,All children 12 � 17 years,All children 12 � 17 years,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),Oct 30 - Nov 26,2022,Monthly,61.6,57.7 - 65.5,"1,998",0
National Estimates,National,12-17 years,Health Insurance,Uninsured,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),January 1 - January 28,2023,Monthly,44.2,24.8 - 63.6,71,0
National Estimates,National,12-17 years,Metropolitan statistical area,Rural,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),Nov 28 - Dec 31,2021,Monthly,33,26.9 - 39.1,515,0
National Estimates,National,12-17 years,Metropolitan statistical area,Urban,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),Oct 30 - Nov 26,2022,Monthly,66,58.8 - 73.3,602,0
National Estimates,National,12-17 years,Poverty and Income,"At or above poverty, income >= $75k",Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),Aug 28 - Sept 30 ,2022,Monthly,69.4,63.5 - 75.3,764,0
National Estimates,National,12-17 years,Poverty and Income,Unknown income,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),Jul 31 - Aug 27,2022,Monthly,64,57.8 - 70.2,650,0
National Estimates,National,12-17 years,Race/Ethnicity,"White, non-Hispanic",Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),Oct 30 - Nov 26,2022,Monthly,55.1,50.4 - 59.9,"1,171",0
National Estimates,National,5-11 years,All children 5 � 11 years,All children 5 � 11 years,Bivalent vaccination and intent 4 level grouping (among completed primary series),Definitely will get an updated bivalent booster (among completed primary series),April 30 - May 27,2023,Monthly,26.3,22.6 - 29.9,"2,224",0
National Estimates,National,5-11 years,Metropolitan statistical area,Rural,Bivalent vaccination and intent 4 level grouping (among completed primary series),Definitely will get an updated bivalent booster (among completed primary series),January 1 - January 28,2023,Monthly,22.8,12.4 - 33.2,204,0
National Estimates,National,5-11 years,Poverty and Income,"Above poverty, income < $75k",Bivalent vaccination and intent 4 level grouping (among completed primary series),Definitely will get an updated bivalent booster (among completed primary series),April 30 - May 27,2023,Monthly,19.5,12.0 - 27.0,401,0
National Estimates,National,5-11 years,Race/Ethnicity,"Black, non-Hispanic",Bivalent vaccination and intent 4 level grouping (among completed primary series),Definitely will get an updated bivalent booster (among completed primary series),January 1 - January 28,2023,Monthly,40.1,28.1 - 52.1,166,0
National Estimates,National,5-11 years,Race/Ethnicity,"White, non-Hispanic",Bivalent vaccination and intent 4 level grouping (among completed primary series),Definitely will get an updated bivalent booster (among completed primary series),April 30 - May 27,2023,Monthly,28.1,22.7 - 33.4,"1,051",0
National Estimates,National,5-17 years,Health Insurance,Uninsured,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),Mar 27 - Apr 30,2022,Monthly,31,23.3 - 38.7,372,0
National Estimates,National,5-17 years,Health Insurance,Uninsured,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),Nov 28 - Dec 31,2021,Monthly,23.1,16.8 - 29.3,386,0
National Estimates,National,5-11 years,All children 5 � 11 years,All children 5 � 11 years,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Jul 1 - Jul 30,2022,Monthly,6,4.9 - 7.2,"7,704",0
National Estimates,National,5-11 years,Health Insurance,Other Insurance,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 1 - May 28,2022,Monthly,4.3,3.0 - 5.7,"4,079",0
National Estimates,National,5-11 years,Metropolitan statistical area,Rural,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Mar 27 - Apr 30,2022,Monthly,4.5,2.2 - 6.7,965,0
National Estimates,National,5-11 years,Metropolitan statistical area,Urban,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Feb 27 - Mar 26,2022,Monthly,7.1,4.9 - 9.4,"1,812",0
National Estimates,National,5-11 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Jan 2  - Jan 29,2022,Monthly,21.2,14.1 - 28.4,382,0
National Estimates,National,5-11 years,Poverty and Income,Unknown income,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Nov 28 - Dec 31,2021,Monthly,18.3,14.5 - 22.1,"1,492",0
National Estimates,National,5-11 years,Race/Ethnicity,Hispanic/Latino,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Oct 30 - Nov 26,2022,Monthly,5.9,2.5 - 9.3,644,0
National Estimates,National,5-11 years,Race/Ethnicity,"White, non-Hispanic",Vaccination and intent 4 level grouping,Definitely will get vaccinated,Nov 28 - Dec 31,2021,Monthly,15.2,12.9 - 17.5,"3,443",0
National Estimates,National,5-11 years,Sex,Male,Vaccination and intent 4 level grouping,Definitely will get vaccinated,March 26 - April 29,2023,Monthly,2.3,1.3 - 3.4,"2,578",0
National Estimates,National,5-11 years,Sex,Male,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Mar 27 - Apr 30,2022,Monthly,5.6,4.1 - 7.1,"3,418",0
National Estimates,National,5-11 years,Sex,Male,Vaccination and intent 4 level grouping,Definitely will get vaccinated,April 30 - May 27,2023,Monthly,3.2,1.7 - 4.7,"2,311",0
National Estimates,National,5-11 years,Sex,Male,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 1 - May 28,2022,Monthly,4.6,3.1 - 6.1,"2,965",0
National Estimates,National,5-11 years,Sex,Male,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 29 - Jun 30,2022,Monthly,7.1,5.3 - 8.9,"3,411",0
National Estimates,National,5-11 years,Sex,Male,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Jul 1 - Jul 30,2022,Monthly,5.5,3.9 - 7.2,"3,946",0
National Estimates,National,5-11 years,Sex,Male,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Jul 31 - Aug 27,2022,Monthly,7.6,5.7 - 9.5,"3,151",0
National Estimates,National,5-11 years,Sex,Male,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Aug 28 - Sept 30 ,2022,Monthly,5.9,3.9 - 8.0,"2,135",0
National Estimates,National,5-11 years,Sex,Male,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Oct 1 - Oct 29 ,2022,Monthly,5.1,3.2 - 7.1,"1,841",0
National Estimates,National,5-11 years,Sex,Male,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Oct 30 - Nov 26,2022,Monthly,4.6,2.5 - 6.7,"1,798",0
National Estimates,National,5-11 years,Sex,Male,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Nov 27 - Dec 31,2022,Monthly,2.6,1.6 - 3.7,"2,535",0
National Estimates,National,5-11 years,Sex,Male,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Nov 28 - Dec 31,2021,Monthly,21.7,18.9 - 24.5,"3,297",0
National Estimates,National,5-11 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Definitely will get vaccinated,January 29 - February 25,2023,Monthly,2.9,0.3 - 5.4,368,0
National Estimates,National,5-11 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Jan 30 - Feb 26,2022,Monthly,12.9,7.5 - 18.4,478,0
National Estimates,National,5-11 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Definitely will get vaccinated,February 26 - March 25,2023,Monthly,7.1,2.0 - 12.2,390,0
National Estimates,National,5-11 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Feb 27 - Mar 26,2022,Monthly,7,3.0 - 11.0,490,0
National Estimates,National,5-11 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Definitely will get vaccinated,March 26 - April 29,2023,Monthly,2.4,0.4 - 4.4,484,0
National Estimates,National,5-11 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Mar 27 - Apr 30,2022,Monthly,8.5,4.8 - 12.1,615,0
National Estimates,National,5-11 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Definitely will get vaccinated,April 30 - May 27,2023,Monthly,4.8,1.1 - 8.5,392,0
National Estimates,National,5-11 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 1 - May 28,2022,Monthly,10.1,5.6 - 14.7,548,0
National Estimates,National,5-11 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 29 - Jun 30,2022,Monthly,8.7,4.8 - 12.7,578,0
National Estimates,National,5-11 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Jul 1 - Jul 30,2022,Monthly,9.6,5.0 - 14.3,602,0
National Estimates,National,5-11 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Jul 31 - Aug 27,2022,Monthly,5.9,2.3 - 9.5,466,0
National Estimates,National,5-11 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Aug 28 - Sept 30 ,2022,Monthly,9.5,3.9 - 15.0,395,0
National Estimates,National,5-11 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Oct 1 - Oct 29 ,2022,Monthly,8.3,2.8 - 13.8,302,0
National Estimates,National,5-11 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Oct 30 - Nov 26,2022,Monthly,5,0.7 - 9.2,301,0
National Estimates,National,5-11 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Nov 27 - Dec 31,2022,Monthly,2.1,0.5 - 3.8,468,0
National Estimates,National,5-11 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Nov 28 - Dec 31,2021,Monthly,26.3,20.0 - 32.6,605,0
National Estimates,National,5-11 years,Race/Ethnicity,Multi,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),Mar 27 - Apr 30,2022,Monthly,43.4,37.3 - 49.5,"1,016",0
National Estimates,National,5-17 years,Poverty and Income,Unknown income,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),Jul 1 - Jul 30,2022,Monthly,43.4,40.2 - 46.6,"2,764",0
National Estimates,National,5-17 years,Race/Ethnicity,Hispanic/Latino,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),April 30 - May 27,2023,Monthly,48.7,44.1 - 53.3,"1,493",0
National Estimates,National,5-11 years,Race/Ethnicity,"Black, non-Hispanic",Vaccination and intent 4 level grouping,Definitely will get vaccinated,January 1 - January 28,2023,Monthly,2.6,0.1 - 5.1,385,0
National Estimates,National,5-11 years,Race/Ethnicity,"Black, non-Hispanic",Vaccination and intent 4 level grouping,Definitely will get vaccinated,Jan 2  - Jan 29,2022,Monthly,16.1,10.7 - 21.5,524,0
National Estimates,National,5-11 years,Race/Ethnicity,"Black, non-Hispanic",Vaccination and intent 4 level grouping,Definitely will get vaccinated,January 29 - February 25,2023,Monthly,5,1.7 - 8.3,470,0
National Estimates,National,5-11 years,Race/Ethnicity,"Black, non-Hispanic",Vaccination and intent 4 level grouping,Definitely will get vaccinated,Jan 30 - Feb 26,2022,Monthly,12.7,7.9 - 17.5,583,0
National Estimates,National,5-11 years,Race/Ethnicity,"Black, non-Hispanic",Vaccination and intent 4 level grouping,Definitely will get vaccinated,February 26 - March 25,2023,Monthly,3.4,0.0 - 7.0,408,0
National Estimates,National,5-11 years,Race/Ethnicity,"Black, non-Hispanic",Vaccination and intent 4 level grouping,Definitely will get vaccinated,Feb 27 - Mar 26,2022,Monthly,4.8,2.7 - 6.9,524,0
National Estimates,National,5-11 years,Race/Ethnicity,"Black, non-Hispanic",Vaccination and intent 4 level grouping,Definitely will get vaccinated,March 26 - April 29,2023,Monthly,2.2,0.4 - 4.0,432,0
National Estimates,National,5-11 years,Race/Ethnicity,"Black, non-Hispanic",Vaccination and intent 4 level grouping,Definitely will get vaccinated,Mar 27 - Apr 30,2022,Monthly,9.7,5.7 - 13.7,600,0
National Estimates,National,5-11 years,Race/Ethnicity,"Black, non-Hispanic",Vaccination and intent 4 level grouping,Definitely will get vaccinated,April 30 - May 27,2023,Monthly,3.4,0.0 - 6.8,408,0
National Estimates,National,5-11 years,Race/Ethnicity,"Black, non-Hispanic",Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 1 - May 28,2022,Monthly,8.3,4.5 - 12.1,553,0
National Estimates,National,5-11 years,Race/Ethnicity,"Black, non-Hispanic",Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 29 - Jun 30,2022,Monthly,10.1,6.1 - 14.1,691,0
National Estimates,National,5-11 years,Race/Ethnicity,"Black, non-Hispanic",Vaccination and intent 4 level grouping,Definitely will get vaccinated,Jul 1 - Jul 30,2022,Monthly,8.8,5.2 - 12.4,829,0
National Estimates,National,5-11 years,Race/Ethnicity,"Black, non-Hispanic",Vaccination and intent 4 level grouping,Definitely will get vaccinated,Jul 31 - Aug 27,2022,Monthly,9.5,5.4 - 13.6,697,0
National Estimates,National,5-11 years,Race/Ethnicity,"Black, non-Hispanic",Vaccination and intent 4 level grouping,Definitely will get vaccinated,Aug 28 - Sept 30 ,2022,Monthly,6.7,2.3 - 11.2,366,0
National Estimates,National,5-11 years,Race/Ethnicity,"Black, non-Hispanic",Vaccination and intent 4 level grouping,Definitely will get vaccinated,Oct 1 - Oct 29 ,2022,Monthly,8.7,3.4 - 14.0,329,0
National Estimates,National,5-11 years,Race/Ethnicity,"Black, non-Hispanic",Vaccination and intent 4 level grouping,Definitely will get vaccinated,Oct 30 - Nov 26,2022,Monthly,3.2,0.0 - 7.3,356,0
National Estimates,National,5-17 years,Race/Ethnicity,Multi,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),Jan 30 - Feb 26,2022,Monthly,59.3,53.1 - 65.4,"1,084",0
National Estimates,National,5-17 years,Race/Ethnicity,Multi,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),Oct 30 - Nov 26,2022,Monthly,60.7,53.1 - 68.3,751,0
National Estimates,National,5-17 years,Sex,Female,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),Mar 27 - Apr 30,2022,Monthly,47.7,45.1 - 50.3,"4,536",0
National Estimates,National,5-11 years,Race/Ethnicity,Hispanic/Latino,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Nov 27 - Dec 31,2022,Monthly,3.3,1.5 - 5.0,"1,116",0
National Estimates,National,5-11 years,Race/Ethnicity,Hispanic/Latino,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Nov 28 - Dec 31,2021,Monthly,27,22.5 - 31.5,"1,285",0
National Estimates,National,5-11 years,Race/Ethnicity,Multi,Vaccination and intent 4 level grouping,Definitely will get vaccinated,January 1 - January 28,2023,Monthly,3.2,0.1 - 6.3,498,0
National Estimates,National,5-11 years,Race/Ethnicity,Multi,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Jan 2  - Jan 29,2022,Monthly,18.5,12.1 - 24.9,662,0
National Estimates,National,5-11 years,Race/Ethnicity,Multi,Vaccination and intent 4 level grouping,Definitely will get vaccinated,January 29 - February 25,2023,Monthly,4.7,0.9 - 8.5,575,0
National Estimates,National,5-11 years,Race/Ethnicity,Multi,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Jan 30 - Feb 26,2022,Monthly,6.7,3.9 - 9.5,756,0
National Estimates,National,5-11 years,Race/Ethnicity,Multi,Vaccination and intent 4 level grouping,Definitely will get vaccinated,February 26 - March 25,2023,Monthly,2.2,0.7 - 3.8,565,0
National Estimates,National,5-11 years,Race/Ethnicity,Multi,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Feb 27 - Mar 26,2022,Monthly,4.7,2.3 - 7.2,771,0
National Estimates,National,5-11 years,Race/Ethnicity,Multi,Vaccination and intent 4 level grouping,Definitely will get vaccinated,March 26 - April 29,2023,Monthly,1.3,0.4 - 2.3,842,0
National Estimates,National,5-11 years,Race/Ethnicity,Multi,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Mar 27 - Apr 30,2022,Monthly,10.5,5.6 - 15.4,"1,016",0
National Estimates,National,5-11 years,Race/Ethnicity,Multi,Vaccination and intent 4 level grouping,Definitely will get vaccinated,April 30 - May 27,2023,Monthly,3,0.7 - 5.3,787,0
National Estimates,National,5-11 years,Race/Ethnicity,Multi,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 1 - May 28,2022,Monthly,4.8,1.7 - 7.8,948,0
National Estimates,National,5-11 years,Race/Ethnicity,Multi,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 29 - Jun 30,2022,Monthly,6.4,3.2 - 9.6,932,0
National Estimates,National,5-11 years,Race/Ethnicity,Multi,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Jul 1 - Jul 30,2022,Monthly,7,4.4 - 9.6,"1,064",0
National Estimates,National,5-11 years,Race/Ethnicity,Multi,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Jul 31 - Aug 27,2022,Monthly,5.1,2.6 - 7.7,872,0
